Frequency[Hz];Magnitude[dB];Phase[deg]
0,24173154808041;-0,63766173847465;-38,802127134175
0,25118864315096;-0,69302485475995;-40,316613653314
0,26101572156825;-0,75338084880138;-41,887322335618
0,2712272579332;-0,8191833076256;-43,515629000618
0,28183829312644;-0,89092211388485;-45,202794872825
0,29286445646252;-0,96912454119451;-46,949935129312
0,30432198871077;-1,0543558573591;-48,757983601688
0,31622776601684;-1,1472192894966;-50,627653729254
0,32859932476006;-1,2483551899384;-52,559396058101
0,34145488738336;-1,3584392314779;-54,553352828659
0,35481338923357;-1,4781794577681;-56,609310490401
0,36869450645195;-1,6083120225301;-58,726651320362
0,38311868495573;-1,7495954729318;-60,904305687379
0,39810717055349;-1,9028034709995;-63,140706873535
0,41368204023885;-2,068715904434;-65,433750705275
0,42986623470822;-2,2481084154529;-67,780762517523
0,44668359215096;-2,4417404719353;-70,178474126806
0,46415888336127;-2,6503422150798;-72,623013474233
0,48231784822393;-2,8746004348234;-75,109909372061
0,50118723362727;-3,1151441381935;-77,63411331866
0,52079483285954;-3,3725302740403;-80,190039629344
0,54116952654646;-3,6472302467298;-82,771624189397
0,56234132519034;-3,9396178788149;-85,372401029811
0,58434141337351;-4,249959459135;-87,985594748168
0,60720219569098;-4,5784064342297;-90,604225662703
0,63095734448019;-4,9249911702148;-93,221223622008
0,65564184941797;-5,2896260393719;-95,829545710843
0,68129206905795;-5,6721058868656;-98,422292778978
0,70794578438413;-6,0721137284398;-100,99281981513
0,73564225445963;-6,4892293407366;-103,53483567958
0,76442227425259;-6,9229402507629;-106,04248853469
0,79432823472427;-7,3726545235453;-108,51043437131
0,82540418526801;-7,8377146939124;-110,93388719916
0,85769589859089;-8,3174121891685;-113,30865062703
0,89125093813374;-8,8110016375097;-115,63113159844
0,92611872812878;-9,3177145412725;-117,89833789104
0,96235062639808;-9,8367719012671;-120,10786159231
0,99999999999999;-10,367395495241;-122,25785111847
1,0391223038352;-10,908817628378;-124,34697446866
1,0797751623277;-11,460289277785;-126,3743763375
1,122018454302;-12,021086640413;-128,33963149634
1,1659144011798;-12,590516162023;-130,24269654416
1,2115276586286;-13,167918173353;-132,08386177051
1,2589254117942;-13,752669290063;-133,86370450172
1,3081774742602;-14,344183747946;-135,58304494662
1,3593563908785;-14,941913847444;-137,24290523809
1,4125375446227;-15,545349674923;-138,84447209236
1,4677992676221;-16,154018255283;-140,38906328356
1,525222956539;-16,767482273923;-141,87809795481
1,5848931924611;-17,385338487785;-143,31307065662
1,6468978654829;-18,007215926609;-144,69552891121
1,7113283041618;-18,632773967806;-146,02705404186
1,7782794100389;-19,261700352034;-147,30924497347
1,8478497974223;-19,893709192078;-148,54370469685
1,9201419386388;-20,528539015119;-149,73202909071
1,9952623149689;-21,16595086791;-150,8757978076
2,0733215734859;-21,805726505613;-151,976566948
2,1544346900319;-22,447666678027;-153,03586327004
2,2387211385683;-23,091589521262;-154,05517970651
2,3263050671536;-23,737329058596;-155,03597198594
2,4173154808041;-24,384733810924;-155,9796561789
2,5118864315096;-25,033665514755;-156,88760701343
2,6101572156825;-25,683997943994;-157,76115682508
2,712272579332;-26,335615830521;-158,60159502586
2,8183829312644;-26,988413877881;-159,41016799373
2,9286445646252;-27,642295861948;-160,18807929965
3,0432198871077;-28,297173812294;-160,936490202
3,1622776601683;-28,952967268014;-161,65652035002
3,2859932476006;-29,609602601933;-162,34924864775
3,4145488738336;-30,267012407371;-163,01571423812
3,5481338923357;-30,925134941959;-163,65691757442
3,6869450645195;-31,58391362336;-164,27382155202
3,8311868495572;-32,24329657211;-164,86735267867
3,9810717055349;-32,903236197165;-165,43840226551
4,1368204023885;-33,563688820102;-165,98782762513
4,2986623470822;-34,224614334294;-166,5164532651
4,4668359215096;-34,885975895666;-167,02507206865
4,6415888336127;-35,547739642007;-167,51444645559
4,8231784822392;-36,209874438049;-167,98530951851
5,0118723362727;-36,872351643827;-168,43836613037
5,2079483285954;-37,535144904071;-168,87429402103
5,4116952654646;-38,198229956573;-169,29374482072
5,6234132519034;-38,861584457737;-169,69734506945
5,8434141337351;-39,525187823631;-170,08569719175
6,0720219569098;-40,189021085082;-170,45938043668
6,3095734448019;-40,853066755477;-170,81895178327
6,5564184941797;-41,517308710059;-171,16494681188
6,8129206905795;-42,181732075668;-171,49788054212
7,0794578438413;-42,846323129927;-171,81824823825
7,3564225445963;-43,51106920902;-172,1265261828
7,6442227425259;-44,175958623268;-172,42317241962
7,9432823472427;-44,840980579798;-172,70862746718
8,2540418526801;-45,506125111662;-172,98331500335
8,5769589859088;-46,171383012831;-173,24764252254
8,9125093813373;-46,836745778543;-173,50200196656
9,2611872812878;-47,502205550537;-173,74677032982
9,6235062639808;-48,167755066744;-173,98231024037
9,9999999999999;-48,833387615044;-174,20897051735
10,391223038352;-49,499096990751;-174,42708670614
10,797751623277;-50,164877457502;-174,63698159194
11,220184543019;-50,830723711261;-174,83896569283
11,659144011798;-51,496630847176;-175,03333773301
12,115276586286;-52,162594329057;-175,22038509729
12,589254117942;-52,828609961253;-175,40038426731
13,081774742602;-53,494673862725;-175,57360124061
13,593563908785;-54,160782443157;-175,74029193298
14,125375446227;-54,826932380903;-175,90070256492
14,67799267622;-55,493120602661;-176,05507003293
15,25222956539;-56,159344264711;-176,20362226616
15,848931924611;-56,825600735588;-176,34657856902
16,468978654828;-57,491887580105;-176,48414995047
17,113283041618;-58,15820254458;-176,61653944041
17,782794100389;-58,824543543205;-176,74394239372
18,478497974223;-59,490908645448;-176,8665467825
19,201419386388;-60,157296064414;-176,98453347697
19,952623149689;-60,823704146092;-177,09807651548
20,733215734859;-61,490131359412;-177,2073433641
21,544346900319;-62,156576287058;-177,31249516617
22,387211385683;-62,823037616974;-177,41368698221
23,263050671536;-63,48951413451;-177,51106802066
24,173154808041;-64,156004715157;-177,6047818597
25,118864315095;-64,82250831783;-177,69496666061
26,101572156825;-65,48902397866;-177,78175537288
27,12272579332;-66,155550805241;-177,86527593153
28,183829312644;-66,822087971317;-177,9456514469
29,286445646252;-67,488634711867;-178,02300038709
30,432198871077;-68,155190318548;-178,0974367536
31,622776601683;-68,821754135488;-178,16907025008
32,859932476006;-69,488325555391;-178,23800644485
34,145488738336;-70,15490401593;-178,30434692709
35,481338923357;-70,82148899641;-178,36818945716
36,869450645195;-71,48808001468;-178,42962811118
38,311868495572;-72,154676624273;-178,48875342014
39,810717055349;-72,821278411767;-178,54565250371
41,368204023884;-73,487884994327;-178,60040919899
42,986623470822;-74,154496017444;-178,65310418441
44,668359215096;-74,821111152835;-178,70381509881
46,415888336127;-75,487730096502;-178,75261665621
48,231784822392;-76,154352566931;-178,79958075603
50,118723362726;-76,820978303428;-178,84477658929
52,079483285954;-77,487607064579;-178,88827074073
54,116952654646;-78,154238626822;-178,93012728706
56,234132519034;-78,820872783125;-178,9704078915
58,434141337351;-79,487509341766;-179,00917189479
60,720219569098;-80,154148125194;-179,04647640271
63,095734448018;-80,820788968987;-179,08237637032
65,564184941797;-81,487431720878;-179,116924683
68,129206905795;-82,154076239856;-179,15017223444
70,794578438413;-82,820722395333;-179,18216800174
73,564225445963;-83,487370066374;-179,21295911753
76,442227425259;-84,154019140982;-179,24259093956
79,432823472427;-84,82066951544;-179,27110711751
82,5404185268;-85,487321093695;-179,29854965733
85,769589859088;-86,153973786794;-179,32495898322
89,125093813373;-86,820627512357;-179,35037399715
92,611872812878;-87,487282194094;-179,37483213623
96,235062639807;-88,15393776135;-179,39836942789
